uuid,Name,Address,Sanction Type,Nationality,Effect Date | Lapse Date,Grounds,Entity Type
37cd5534-33d2-4ed6-9f53-4cbd64de5332,1st Construction Branch of Weihai Construction Group Co. Ltd. (Reg. No.913710007062497052),"3rd Floor, No.271-1 East Kaiyuan Road, Weihai
威海市草庙子开元东路271-1号三楼",Debarred,People's Republic of China,4/Apr/2022 | 18/Oct/2024,Cross-Debarment: AfDB,Person
1612d3a7-3e9c-4f76-aff8-0791baa1eb3c,2nd Construction Branch of Weihai Construction Group Co. Ltd. (Reg. No. 91371000706249676N),"4th Floor, No.271-1 Eastern Kaiyuan Road, Cao Miaozi Town, Weihai
威海市草庙子镇开元东路271-1号楼四层",Debarred,People's Republic of China,4/Apr/2022 | 18/Oct/2024,Cross-Debarment: AfDB,Organization
c7492b5d-d72d-4d36-ac98-5f7c2f3d499d,3rd Construction Branch of Weihai Construction Group Co. Ltd. (Reg. No. 91371000706249684H),"No.38 North Qingdao Road, Weihai
威海市青岛北路38号",Debarred,People's Republic of China,4/Apr/2022 | 18/Oct/2024,Cross-Debarment: AfDB,Organization
bf163e1c-294f-4a3c-a724-3048d1e1ee06,4th Construction Branch of Weihai Construction Group Co. Ltd. (Reg. No. 91371000706249692C),"4th Floor, No.21-2 Hong Kong Road, Weihai
威海市香港路21-2号四楼",Debarred,People's Republic of China,4/Apr/2022 | 18/Oct/2024,Cross-Debarment: AfDB,Organization
600a2d37-b424-43ce-b7c0-949cc9cc6c61,5th Construction Branch of Weihai Construction Group Co. Ltd. (Reg. No. 91371000866702863T),"No.44 East Culture Road, Weihai
威海市文化东路-44号",Debarred,People's Republic of China,4/Apr/2022 | 18/Oct/2024,Cross-Debarment: AfDB,Organization
726359db-a5ae-4908-af69-1d637105392d,A PONTUAL – MOTORES E MÁQUINAS LTDA,"RUA FREDERICO 
PEIXOTO S/N, PINHEIRO, MARANHÃO
BRAZIL",Debarred,Non ADB Member Country,6/Dec/2012 | Until Further Notice,Cross-Debarment: WB,Organization
8eb0c30f-97cf-4f0b-9b22-064ec9c29639,A2Z INFRA ENGINEERING LIMITED(Previously known as A2Z Maintenance & Engineering Services Limited),"PLOT NO. B-38, SECTOR 32, INSTITUTIONAL AREA, GURGAON – 122001, HARYANA 
INDIA",Debarred,India,8/Dec/2020 | 11/Nov/2024,Cross-Debarment: WB,Organization
fdfc1d33-f353-4d99-919a-b4196876b15f,A2Z INFRASERVICES LANKA PVT. LTD.,"BOC MERCHANT TOWER, LEVEL 8, NO: 28 ST. MICHAEL’S ROAD, COLOMBO 3, SRI LANKA",Debarred,Sri Lanka,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
429b5ef9-f6c4-43af-90ef-6f872539df88,A2Z INFRASERVICES LTD.,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA, INDIA",Debarred,India,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
48fcbc2f-cb99-4254-95f0-1023c71801dc,A2Z POWERCOM LTD.,"O-116, 1ST FLOOR, DLF SHOPPING MALL, ARJUN MARG, DLF PH-I GURUGRAM - 122002, HARYANA, INDIA",Debarred,India,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
cd0ad0a5-267d-4fc4-b8a7-2951afa20c96,A2Z WASTE MANAGEMENT (ALIGARH) LTD.,"PLOT NO. B. 38, INSTITUTIONAL AREA, SECTOR -32, GURUGRAM- 122001, HARYANA, INDIA",Debarred,India,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
327a5507-269c-4614-8f9d-a6944c5e1b05,A2Z WASTE MANAGEMENT (JAIPUR) LIMITED,"PLOT NO. B-38 INSTITUTIONAL AREA, SECTOR 32, GURGAON, 122001, HARYANA, INDIA",Debarred,India,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
27fe71ab-4b4e-4861-a996-bbc2724bf775,A2Z WASTE MANAGEMENT (LUDHIANA) LTD.,"PLOT NO. B. 38, INSTITUTIONAL AREA, SECTOR -32, GURUGRAM- 122001, HARYANA, INDIA",Debarred,India,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
215539a5-60e1-4432-9239-fa7e327d5a1c,A2Z WASTE MANAGEMENT (NAINITAL) PRIVATE LIMITED,"PLOT NO. B-38 INSTITUTIONAL AREA, SECTOR 32, GURGAON, 122001, HARYANA, INDIA",Debarred,India,23/Jun/2021 | 11/Nov/2024,Cross-Debarment: WB,Organization
7a33a296-9dca-4c8d-95a3-24ab3136f9a7,AARON INGENIEROS CONSTRUCTORES & CONSULTORES E.I.R.L.*,"JR. CHAUPIMAYO D-5 SANTA ANA – LA CONVENCIÓN, CUSCO
Peru",Debarred,Non ADB Member Country,7/Aug/2020 | Until Further Notice,Cross-Debarment: WB,Organization
e295f96f-d939-40fe-8bd2-2a22d776c751,AC OIL & GAS EMIRATES LLC,"Fujairah Tower, 11th Floor, Fujairah, the United Arab Emirates",Debarred,United Arab Emirates-Non ADB Member Country,13/Jan/2023 | 14/Nov/2025,Cross-Debarment: WB,Organization
07f37d2b-710e-4016-a5a3-cac79fd1fc92,AC OIL & GAS SL,"Avenida Diagonal 644, 08017, Barcelona, Spain",Debarred,Spain,13/Jan/2023 | 14/Nov/2025,Cross-Debarment: WB,Organization
f055498b-a717-4514-98a5-a7fdf3828749,"Acosta, Juan Jose Gonzalez","Pol. Ind. La Gravera. Avda Dehesa del Piomo, 26, 21440 Lepe, Huelva, Spain",Debarred,Spain,5/Mar/2021 | 8/Feb/2028,Cross-Debarment: IDB,Person
644c4f86-bb00-47c6-9aa8-3133957fc869,Ademhan Makine Tarim Insaat Gida Nakliyat Ithalat Ihracaat Sanayi Ve Ticaret Limited Sirketi,"Diclekent Mahallesi 625, Sok Centro Plaza 2A/Blok No. 28, Kayapinar, Diyarbakir, TURKEY",Debarred,Turkey,6/Aug/2021 | 6/Feb/2025,Violated ADB's Integrity Principles and Guidelines 2A (ii).,Person
821ab7c6-fcf2-4c77-bf5f-ac51e46321f0,"Ademhan, Abdulhamit","Diclekent Mahallesi 625, Sok Centro Plaza 2A/Blok No. 28, Kayapinar, Diyarbakir, TURKEY",Debarred,Turkey,6/Aug/2021 | 6/Feb/2025,Violated ADB's Integrity Principles and Guidelines 2A (ii).,Person
9be6f766-7ea3-4fc7-824f-fbcf1568344a,Aerospace Aviation,"P.O. Box 1007-00100 Thika, KENYA",Debarred,Kenya-Non ADB Member Country,25/Feb/2022 | Until Further Notice,Cross-Debarment: AfDB; Affiliate of a cross debarred entity,Organization
24431dba-e081-46a7-8dc3-22277214b803,AFRICA DEVELOPMENT PROFESSIONAL GROUP LTD. (Registration No. C. 148524),"K-REP CENTRE, 4TH FLOOR, WOOD AVENUE, P.O. BOX 9390-00100, NAIROBI, KENYA",Debarred,Kenya-Non ADB Member Country,24/Nov/2021 | Until Further Notice,Cross-Debarment: WB,Organization
64cbdaf7-7af4-4547-8345-bf672e117024,AFRICA RAILWAYS LOGISTICS LIMITED,"AUGENTIUS FUND 
ADMINISTRATION 
(MAURITIUS) 
LIMITED LEVEL 
3, ALEXANDER 
HOUSE, 35 
CYBERCITY,  EBENE 
Mauritius",Debarred,Non ADB Member Country,26/Apr/2018 | Until Further Notice,Cross-Debarment: WB,Organization
5c230b2f-dea7-4053-82fa-e438614d0b9a,"Ahmed, Shoeb","Proprietor
M/S Shoeb Builders
Plot 2 (3rd Floor) 
Gulshan Circle – 2 
Dhaka – 1212
BANGLADESH",Debarred,Bangladesh,23/Jul/2007 | Indefinitely,"Debarred, not contactable.",Organization
0caaa14d-c039-4d8d-b6fe-24d143c31053,AIM Consultants Limited,"Plot 267A, Etim Inyang Crescent, Victoria Island Annex, Lagos, NIGERIA",Debarred,Nigeria-Non ADB Member Country,25/Feb/2022 | 21/Dec/2024,Cross-Debarment: WB,Organization
52be35b8-6137-4f0f-89c5-d9ce733982fc,AIRSERCO PRIVATE LIMITED,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II, NEW DELHI- 110020
India",Debarred,India,20/Apr/2020 | Until Further Notice,Cross-Debarment: WB,Organization
226f66b5-b350-4983-ab3e-27b3171e7949,"Akhtar, M. Babul, M.","Soto Palash Bari Post Office
Soto Palash Bari
Upazila Birganj District, Dinajpur
BANGLADESH",Debarred,Bangladesh,17/May/2011 | Until Further Notice,"Violated ADB's Procurement Guidelines 1.14(a)(ii); ADB's Integrity Principles and Guidelines 2A(ii)
Sanction violation",Person
83be4c5f-faa6-4758-b192-d8d55f2f9504,AKIN PROJECT LLC,"19 Mayais Mahallesi Kadipasa Sokak Yeni Ozturk, Apt. No 16/4 Kazasker Kadikoy Istanbul, TURKEY
Orucoc Kucesi Ev 13,  Xatai Rayonu S. Manzil 9, AZ1010, Baku, Azerbaijani
Apt 6, 235 Eliyeva street, Nesimi district Dilare, AZ 1010 Baku, Azerbaijan",Debarred,"Azerbaijan, Rep. of",18/May/2016 | Until Further Notice,Violated ADB's Integrity Principles and Guidelines 2.A(ii).,Organization
7df98e98-88ca-4cdc-8195-a9d0356f6189,"Aksu Geology and Mineral Construction Engineering Co., Ltd.","Façade Room on 1st Floor, No. 4, Tuanjie West Road, Yingbazha District, Aksu City, Aksu Prefecture, Xinjiang, China
新疆阿克苏地区阿克苏市 英巴扎区团结西路4号1层 门面房",Debarred,People's Republic of China,11/May/2023 | 1/May/2026,Cross-Debarment: WB; Affiliate of a cross debarred entity,Organization
a87f519c-de22-4ba6-976a-d31df4e706f1,AL-AJAM COMPANY FOR GENERAL CONTRACTING LTD. (AL-AJAM),"BUNYAN 
AL-SA'DI 
BUILDING, 
AL-RABEE STREET,  BAGHDAD 
Iraq",Debarred,Non ADB Member Country,13/Aug/2013 | Until Further Notice,Cross-Debarment: WB,Organization
d80fdd22-8703-4de3-9a6d-d557d7156115,AL-SAMI CO. GROUP FOR GENERAL CONTRACTS LTD.,"AL-MANSOUR, 14 
RAMADAN ST., 
BUILDING 82, 
BAGHDAD",Debarred,Non ADB Member Country,6/Dec/2011 | Until Further Notice,Cross-Debarment: WB,Organization
4abbc394-2ce8-40b9-bcc2-944236ac3a7c,"AL THUHAT COMPANY, GENERAL CONTRACTING AND TRADE (AL THUHAT)","AL KAZIMIYAH, 
ABDUL MOHSEN 
AL-KAZIMI 
SQUARE, 
DISTRICT: 411 
SH/17, 
BUILDING: 20, BAGHDAD
IRAQ",Debarred,Non ADB Member Country,5/Feb/2013 | Until Further Notice,Cross-Debarment: WB,Organization
318d91cd-bb5f-44a2-9b94-ae432cbc8744,ALAM & SONS GOVERNMENT CONTRACTOR & GENERAL ORDER SUPPLIER,"PLOT NO. 10205 
RIGHT PORTION, 
MONDAHRA 
COLONY, 
GULSHAN-E-NAVEE
D, HUB TOWN 
LASBELA,  BALOCHISTAN 
Pakistan",Debarred,Pakistan,6/Jun/2018 | Until Further Notice,Cross-Debarment: WB,Organization
3db1a374-e0db-4c32-b99a-0572945a9360,ALAMTECH INTERNATIONAL AND GENERAL SUPPLIER,"34A MALAMA 
THOMAS STREET,  FREETOWN 
Sierra Leone",Debarred,Non ADB Member Country,2/Oct/2015 | Until Further Notice,Cross-Debarment: WB,Organization
2d47d343-3a42-4e39-b2b7-167180aa5bd3,"ALAM, MD. SHAMSUL","#68/A, ROAD 
#9/A, 
DHANMONDI R/A, 
DHAKA-1209",Debarred,Bangladesh,30/Sep/2011 | Until Further Notice,Cross-Debarment: WB,Organization
d53251cd-600c-4b8d-8f24-f6a2600b73b7,"Alam, Mohammad (Md. Alam)","c/o Rana International Builders (M/s Rana International Builders), 55 West Panthapath Sheltech Tower, 7th Floor Dhaka 1205, Bangladesh",Debarred,Bangladesh,25/Oct/2005 | Indefinitely,Sanction violation.,Person
0a2c9733-6978-4832-adca-e1cc727a9067,Albany Trade LLC,"2691 N. Bobcat Way
Meridian
Idaho 83642
United States",Debarred,United States,23/Sep/2005 | Until Further Notice,"Debarred, not contactable.",Organization
